,Date,Open,High,Low,Close,Volume
0,02-01-2015,14.8579998,14.88333321,14.21733284,14.62066746,71466000
1,05-01-2015,14.30333328,14.4333334,13.81066704,14.00599957,80527500
2,06-01-2015,14.00399971,14.27999973,13.61400032,14.08533287,93928500
3,07-01-2015,14.22333336,14.31866741,13.98533344,14.06333256,44526000
4,08-01-2015,14.18733311,14.25333309,14.00066662,14.0413332,51637500
5,09-01-2015,13.92800045,13.99866676,13.66399956,13.77733326,70024500
6,12-01-2015,13.53666687,13.63133335,13.28333282,13.48066711,89254500
7,13-01-2015,13.55466747,13.84066677,13.39400005,13.61666679,67159500
8,14-01-2015,12.38866711,13.01333332,12.33333302,12.84599972,173278500
9,15-01-2015,12.9659996,13.05000019,12.66666698,12.7913332,78247500
10,16-01-2015,12.71333313,12.9659996,12.64333344,12.87133312,54048000
11,20-01-2015,12.92466736,12.94133282,12.4693327,12.79533291,67548000
12,21-01-2015,12.63666725,13.24533272,12.63399982,13.10466671,62295000
13,22-01-2015,13.13333321,13.54933262,13.01333332,13.44133282,61753500
14,23-01-2015,13.35266685,13.5666666,13.22200012,13.41933346,51579000
15,26-01-2015,13.45533276,13.90799999,13.40333271,13.77000046,48517500
16,27-01-2015,13.62800026,13.86866665,13.55333328,13.73200035,41715000
17,28-01-2015,13.74066734,13.75800037,13.22799969,13.2913332,47244000
18,29-01-2015,13.4046669,13.73200035,13.10000038,13.68000031,53221500
19,30-01-2015,13.59733295,13.83133316,13.53333282,13.57333279,45105000
20,02-02-2015,13.59799957,14.13000011,13.55333328,14.06266689,62238000
21,03-02-2015,14.21466732,14.69133282,14.08466721,14.55733299,72393000
22,04-02-2015,14.55266666,14.76533318,14.4533329,14.56999969,49581000
23,05-02-2015,14.65866661,15.03199959,14.64266682,14.73266697,52843500
24,06-02-2015,14.80000019,14.89333344,14.4333334,14.49066734,48658500
25,09-02-2015,14.35866737,14.52866745,14.13266659,14.49866676,52086000
26,10-02-2015,14.50333309,14.69999981,14.33333302,14.41933346,80857500
27,11-02-2015,14.14733315,14.31599998,13.81866741,14.18666744,146536500
28,12-02-2015,12.9046669,13.53933334,12.88533306,13.5253334,234744000
29,13-02-2015,13.52666664,13.73266697,13.39400005,13.58466721,92865000
30,17-02-2015,13.71333313,13.71333313,13.4333334,13.62333298,59694000
31,18-02-2015,13.61133289,13.74466705,13.50666714,13.63066673,40704000
32,19-02-2015,13.66666698,14.16266727,13.58333302,14.11400032,77311500
33,20-02-2015,14.05200005,14.50666714,13.9873333,14.47399998,89731500
34,23-02-2015,14.37733269,14.5466671,13.75533295,13.82266712,127497000
35,24-02-2015,13.81933308,13.81933308,13.44666672,13.60733318,99054000
36,25-02-2015,13.66266727,13.80933285,13.50533295,13.58399963,58642500
37,26-02-2015,13.60000038,14.07266712,13.48133278,13.81266689,97093500
38,27-02-2015,13.79333305,13.90333271,13.52000046,13.55599976,58231500
39,02-03-2015,13.51333332,13.55599976,13.05533314,13.15533257,118831500
40,03-03-2015,13.12066746,13.34933281,13.02133274,13.3039999,66484500
41,04-03-2015,13.28333282,13.50133324,13.14733315,13.49600029,63330000
42,05-03-2015,13.5233326,13.74600029,13.34333324,13.37533283,73155000
43,06-03-2015,13.2806673,13.38333321,12.81000042,12.92533302,100686000
44,09-03-2015,12.95933342,12.9659996,12.55000019,12.72533321,101050500
45,10-03-2015,12.56400013,12.89999962,12.50666714,12.68799973,83695500
46,11-03-2015,12.74333286,13.07866669,12.73400021,12.91600037,74623500
47,12-03-2015,12.91666698,12.96333313,12.64999962,12.73799992,62239500
48,13-03-2015,12.59666729,12.78333282,12.48799992,12.57866669,81514500
49,16-03-2015,12.80000019,13.06066704,12.65333271,13.0466671,84432000
50,17-03-2015,13.02866745,13.24733257,12.92933273,12.98200035,73411500
51,18-03-2015,12.99733257,13.3920002,12.8739996,13.38066673,72313500
52,19-03-2015,13.46666718,13.63933277,12.96866703,13.04333305,127128000
53,20-03-2015,13.16333294,13.26599979,13.0413332,13.20533276,64042500
54,23-03-2015,13.23333263,13.36666679,13.16466713,13.30866718,39474000
55,24-03-2015,13.4386673,13.58600044,13.3166666,13.44799995,54748500
56,25-03-2015,13.21800041,13.23933315,12.84666729,12.9533329,85956000
